service_day,bus_id,farebox,apc
08/26/25,1603,765,796
08/26/25,1801,470,185
08/26/25,1802,477,313
08/26/25,1803,635,653
08/26/25,1805,986,992
08/26/25,1806,441,42
08/26/25,1807,1015,149
08/26/25,1808,915,1045
08/26/25,1810,376,444
08/26/25,1811,82,98
08/26/25,1901,1109,1130
08/26/25,1902,557,571
08/26/25,1903,606,558
08/26/25,1905,199,205
08/26/25,1907,249,267
08/26/25,1911,0,154
08/26/25,1912,44,71
08/26/25,2101,443,422
08/26/25,2102,147,142
08/26/25,2502,920,841
08/26/25,2503,561,441
08/26/25,2504,931,872
08/26/25,2505,414,155
08/26/25,5503,211,243
